product,rating,price,img_url,brand,customer_say,gender,individual_review
New Balance Womens Fresh Foam X Hierro V1 MidCut,4.2,,https://m.media-amazon.com/images/I/51VnpsFwywL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/51SDz7pggWL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance New Balance,"Customers find these running shoes comfortable, with excellent ankle and arch support, and appreciate their appearance. The fit receives mixed feedback - while some say they accommodate wide feet well, others report they run very narrow. The cushioning and durability also get mixed reviews, with some finding them cushiony and durable while others describe them as super stiff and falling apart. While some customers consider them an excellent value, others feel they're not worth the price. Customers find these running shoes comfortable, with excellent ankle and arch support, and appreciate their appearance. The fit receives mixed feedback - while some say they accommodate wide feet well, others report they run very narrow. The cushioning and durability also get mixed reviews, with some finding them cushiony and durable while others describe them as super stiff and falling apart. While some customers consider them an excellent value, others feel they're not worth the price.",Women Women,"I’m a recently retired, semi pro athlete, and I’m very picky about my footwear. I have a straight lasted, narrow foot; very neutral gait; normal arch and no structural or biomechanics abnormalities other than boney ankles. I bought these NB Hierro trail shoes in the low cut version and they turned out to be my favorite trail shoes ever! And they have great durability - after a year and a half of regular use, they’re still going strong (I alternate several pairs of shoes at a time to extend their mileage), but I’m soon ready to retire them to be yardwork shoes. So I wanted to try these with a slightly higher ankle to keep the dirt & debris out better. I was a bit nervous because my ankles are so boney, so high tops often dig in. But these don’t! 👏These are truly waterproof and have a gusseted tongue. They’re very comfortable, responsive and cushioned - every bit as responsive and cushioned as the low cut version. They’re light weight and very grippy, but you can still feel the road/trail for agility. And I really love the colors! It’s a very cold gray, almost blueish grey. The lavender with dark pink accent colors are beautiful. They aren’t too dark to wear in the summer, and they’re attractive without being too bold so they don’t clash with most outfits. These aren’t nearly as hot as my winter hiking boots that are actual hiking boots and not just high top trail shoes. It’s so nice to have both!There’s only two negatives, which the low cut ones don’t have. The toe shield on these is just leather, not hardened for extra protection like the low cut version. And you do have to be careful about how you lace these because the tongue is just barely wide enough, and something can dig in if you don’t get it just right. I rethreaded one hole on the left shoe from under to over, and it’s much better.I still wear Nike Vomero’s on the road, but these are my favorites for the trails! 🏃🏻\u200d♀️🥰"
New Balance Womens Fresh Foam X Hierro V8,4.5,113.0,https://m.media-amazon.com/images/I/514SeNDNYIL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable and well-cushioned, with good arch support and durability, particularly noting the long-lasting cushioning and tread. They appreciate the style and quality, with one customer highlighting the feminine-looking pink soles. The fit receives mixed feedback - while some find it true to size, others say it runs small. The grip aspect also gets mixed reviews, with one customer mentioning they keep them from slipping on wet cobblestones.",Women,"Love these shoes!! Like walking on a cloud, fit perfectly."
New Balance Womens Fresh Foam X Hierro V9,4.3,160.0,https://m.media-amazon.com/images/I/51a2UCJlBnL._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these trail running shoes extremely comfortable, rugged for hiking, and durable through repeated use. They receive positive feedback for their support, cushioning, and style, with one customer noting they feel like walking on a supportive cloud. Customers disagree on the sizing, with some finding them wide while others say they run small.",Women,"I’ve bought the New Balance Women’s Fresh Foam X Hierro multiple times, and I absolutely love them! As I’ve gotten older, I’ve realized just how crucial a great shoe is for comfort and support, and these deliver in every way. The Fresh Foam X cushioning feels like running on clouds, providing a soft yet stable ride that’s perfect for my daily walks and occasional trail hikes. The Vibram Megagrip outsole offers fantastic traction, even on uneven or slippery surfaces, which gives me confidence on various terrains. I also appreciate the breathable mesh upper and the snug, supportive fit—though I’d recommend trying the wide option if you prefer extra toe room. The shoes are durable, stylish, and versatile enough for both trails and casual outings. They’ve held up well through repeated use, and I keep coming back to them for their unbeatable comfort and reliability. Highly recommend these to anyone who values quality footwear, especially as comfort becomes more important with age!"
New Balance Womens Fresh Foam X Kaiha Road V1,4.0,80.0,https://m.media-amazon.com/images/I/51WLHNTvPZL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, well-cushioned, and appreciate their arch support. The style receives positive feedback, with customers loving the look. While some customers say the shoes fit true to size, others find them too narrow, and durability is a concern as customers report the shoes tearing apart. The quality and value for money receive mixed reviews, with some customers loving them while others find them terrible and overpriced.",Women,"I’ve had two pairs of the Kaia model and just ordered two more. I’m a moderate treadmill runner. (5-6 days a week ranging from 3-4.5 miles a day). I love the fit and support of the Kaias and how they keep my feet and legs healthy. It took me a year to recover from shin splints after wearing the wrong shoes for too long (oops). The Kaias last for about 300 miles as the treadmill eats up the soles pretty badly, but I’ll take to soft, flexible feel of the sole over a firm and unforgiving shoe any day. The sole is the only thing that ever shows wear and tear. Highly recommend if you’re a like-minded runner."
New Balance Womens Fresh Foam X More V5,4.4,103.0,https://m.media-amazon.com/images/I/51-aPWmZETL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, with one noting they don't feel the ground at all, and appreciate their quality and cushioning, particularly for sore and achy feet. The shoes receive positive feedback for pain relief, helping with sciatic pain in both hips, and offer great arch support. Customers like the color options, with one mentioning they come in six different colors to match scrubs. Regarding size and fit, while some find them true to size with a wide toebox, others report sizing issues and not enough room for the actual foot.",Women,"It took 10 or 11 days to finally get these sneakers. ! Got them today, tried them on. You don"
New Balance Womens Fresh Foam X More V6,4.2,160.0,https://m.media-amazon.com/images/I/71Rw2jhHBkL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable and well-cushioned, with good quality for everyday use. The shoes are true to size. Opinions about the height are mixed, with one customer noting the sole is too high.",Women,"SUPER COMFY!! Perfect for everyday use, super lightweighted feels like you"
New Balance Womens Fresh Foam X Vongo V6,4.4,100.0,https://m.media-amazon.com/images/I/51xkeSfZeZL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable and appreciate their excellent cushioning, good arch support, and overall quality. They like the style and color, and one customer mentions they help with back pain. The fit receives mixed feedback - while some say the extra wide width is perfect, others find them too narrow. The durability is also mixed, with one customer reporting issues with the sole falling apart.",Women,"I think I waited too long between my last pair of running shoes and my new ones, because the difference in experience is phenomenal. Maybe the foam sole breaks down faster? I"
New Balance Womens FuelCell 990 V6Sneaker,4.3,170.0,https://m.media-amazon.com/images/I/81qvlAVjc3L._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,"Customers find these sneakers comfortable, with the FuelCell technology keeping feet comfortable, and appreciate their quality and timeless style. The fit receives mixed feedback - while some find them roomy for orthotics, others say they're much narrower than expected. Customers disagree on the support, with some finding them great for arthritic feet while others report poor arch support. The size and durability also get mixed reviews, with some saying they last for 2 years while others report issues with fraying edges and stained laces. While some consider them well worth the price, others find them expensive.",Women,I got these several days ago and am in the process of breaking them in. I
New Balance Womens FuelCell Rebel V3Running,4.3,65.0,https://m.media-amazon.com/images/I/51PJPZOVVIL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable for running 2-4 miles and appreciate their high quality, with one customer noting they're great for indoor track use. The shoes are lightweight and provide good cushioning, with one customer mentioning they're suitable for long-distance runs. They receive positive feedback for their traction, with one customer highlighting their effectiveness on concrete paths, and customers report pain relief, particularly in knee pain. However, customers disagree on the fit, and durability is a concern as heels collapse after one month of use.",Women,"I ordered these shoes on sale, and ordered them a half size up from my normal running shoe size (or .5-1 full size up from everyday shoes) and they fit perfect! These shoes are plenty roomy in the toebox, have a nice colorway, the laces are thin and stay tied, and the gusseted tongue is thin, comfortable and stays right where it should. The shoes are highly ventilated and breathable, not to mention extremely light, bouncy, and fast! I do have some gripes with the seller, though. I ordered from Fast Goods and when they got to me, there was only the inner box portion, no lid, and it was beat up pretty badly. I could definitely tell the shoes had been tried on/worn, and were certainly a return or a regret for somebody else. I loved them so much, though, and got them at such a great price, that I was willing to keep them despite all that. I just didn\"
New Balance Womens FuelCell Summit Unknown V4,4.1,50.0,https://m.media-amazon.com/images/I/51YTTrGZVsL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable and of great NB quality. The fit, size, style, color, and stability receive mixed feedback, with some customers reporting perfect sizing while others find them too small, and some describing them as stylish while others say they're not pretty. The durability aspect also gets mixed reviews.",Women,"Very happy to find these NB non-foam shoes. Last of the old kind. Fit so well, solid and very light. I love these for walking after having both knees replaced, the shoes provide stability. Good grippy bottoms. I have the purple color and these are gray/black, much better color. Weird colors, not pretty, but great shoes. The fit is perfect, great NB quality, and the cushion is fabulous. I have been a loyal Brooks brand wearer when I bought a pair of NB. Brooks do break down faster and go through a break in period whereas the NB are comfy from day one. Not ridiculous priced. Love them."
Nike,4.5,55.0,https://m.media-amazon.com/images/I/71yB2z3IqPL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes comfortable, well-fitting, and true to size, with excellent durability that holds up over time. They appreciate the style and consider them good value for the price. The arch support receives mixed feedback - while some customers find it great, others report no support at all.",Unisex,"Comfortable, lightweight and great true to size fit. A stylish, quality shoe for a fantastic price. Only time will tell with durability but Nikes are usually always durable. These aren’t my first Nikes and they definitely won’t be my last!"
Nike Air Max 90 GoreTEX Mens Winterized,4.4,95.0,https://m.media-amazon.com/images/I/71-tqvo8A1L._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these shoes have a good fit and appreciate their quality. They like the style, with one customer specifically mentioning they love the color.",Men,Fits true to size. Good quality and comfortable. My husband loves the color.
Nike Blazer Lolthr,4.4,48.0,https://m.media-amazon.com/images/I/71CXfTNVFFL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes comfortable, lightweight, and great for various activities including HIIT workouts and indoor gym exercises. They receive positive feedback for their quality, style, and arch support, with one customer noting they help relieve foot pain. The fit and sizing receive mixed reviews - while some find them a great fit, others say they run slightly small.",Men,So glad I came upon this shoe. OMG!!!! So light & comfortable. I received so many compliments on them. I need another pair in another color. Very impressed!!!
Nike Downshifter 12,4.6,52.0,https://m.media-amazon.com/images/I/61zbKWiUusL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these basketball shoes to be of good quality, with a great fit and nice appearance. They are comfortable, with one customer noting their feet don't hurt while wearing them, and customers appreciate the color and consider them good value for money. The durability receives mixed feedback, with some saying they hold up well. One customer reports issues with stains on the shoes.",Women,"Nice shoes, pretty comfy"
Nike Downshifter 12 PRM Womens,4.4,81.0,https://m.media-amazon.com/images/I/41uzsEkM6FL._AC_SY395_SX395_QL70_ML2_.jpg,Nike,"Customers find these running shoes comfortable and well-fitting, with one mentioning they work well for wide feet. The sizing receives mixed feedback, with several customers noting they run true to size.",Women,"Super comfy, fits well and true to size. Has toe protector with extra layer to keep toes dry."
Nike Mens,4.5,,https://m.media-amazon.com/images/I/61kVRZHzhwL._AC_SY395_SX395_QL70_ML2_.jpg https://m.media-amazon.com/images/I/61KvX83JMsL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/61Y28N13lLL._AC_SX395_SY395_QL70_ML2_.jpg https://m.media-amazon.com/images/I/61kVRZHzhwL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/61rkgiVcdxL._AC_SX395_SY395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/815Wy7UsfUL._AC_SX395_SY395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/61ndYhNIFJL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike Nike Nike Nike Nike Nike Nike,"Customers find these running shoes comfortable, lightweight, and great for walking and running, with good value for the price. They appreciate the fit, style, and build quality, with one customer noting they get better with use. The durability receives mixed feedback, with some customers finding them durable while others report issues with the sole wearing down quickly. Customers consider these workout shoes to be their favorite gym footwear, praising their stability and safety during lifts, with one customer noting the extra firm heel improves balance. Customers find them comfortable, well-fitting, and good-looking, particularly suitable for CrossFit and weight lifting activities. The durability receives mixed reviews, with some customers finding them durable while others express concerns about their longevity. No summary available. Customers find these running shoes comfortable, lightweight, and good value for money, with one customer noting they're suitable for everyday wear. They receive positive feedback for their appearance, perfect fit, and running performance. The durability receives mixed reviews, with some customers finding them very durable while another mentions the tread wears extremely fast. Customers find these sneakers to be of good quality, comfortable, and well-fitting, with a good appearance. They appreciate the shoes' sturdiness, with one customer mentioning they're great for morning walks. The durability receives mixed feedback, though some customers find them durable. One customer notes issues with the shoe condition, mentioning dirt and scuffs on the soles. Customers find these running shoes to be of good quality and consider them a good value for money. Customers find these running shoes to be of good quality, with one mentioning they're great for cross country runs. They fit well and are comfortable.",Men Men Men Men Men Men Men,"Better quality and probably cheaper then the ones I got 4 years ago, I’ve been buying the Nike flex because they are so comfortable and I feel like each time I get them they are better then the last. These shoes are great for casual walking and jogging, I use them for marching band and they are wonderful. I definitely recommend these for hotter weather since they are light and airy especially if you often get athletes foot from being on your feet all day in shoes. The Nike symbol is embroidered this time and has a better material so they will probably last longer then the old ones!"
Nike Mens Air Jordan 1 Mid,4.6,162.0,https://m.media-amazon.com/images/I/71rEcx49X7L._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these Jordan shoes to be of good quality, with one noting they're classic 1s, and appreciate their light blue color that gives off a cool vibe. The shoes are comfortable, fit well, and offer great value for money. Customers consider them authentic, with one mentioning they came with a letter of authenticity. Opinions about sizing are mixed, with some finding them true to size while others say they run too small.",Men,"I bought these Air Jordan 1 Mid sneakers as a birthday gift for my husband, and he absolutely loved them! His usual size is 10.5, but I decided to order size 11 after reading the reviews that they run a bit small — and I’m glad I did, because the 11 fits him perfectly. The quality is excellent, they look very stylish, and he says they’re super comfortable to wear every day. I’m very happy with this purchase and highly recommend them, especially as a gift."
Nike Mens Air Max 200 Walking,4.4,69.0,https://m.media-amazon.com/images/I/712HzXN4UhL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these shoes comfortable, nice for non-runners, and appreciate their soft, cushioned feel. They receive positive feedback for their style, value, and fit, with one customer noting they stay secure while walking. The sizing receives mixed reviews - while some find them true to size, others report they run small. Several customers mention the shoes make loud squeaking noises.",Men,Christmas gift for my daughter. The Nike version is well made and comfortable. She loves the pink.
Nike Mens Air Max 2017,4.4,133.0,https://m.media-amazon.com/images/I/71KxbheLKjL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes to be of good quality, comfortable, and well-fitting, with one customer noting their knees don't hurt while wearing them. They receive positive feedback for their appearance, with one customer describing them as the best design Nike ever made. However, durability is a significant concern, with reports of the side tearing out within the first month and the left shoe's air pocket breaking within 6 weeks. Moreover, customers report issues with the air bubble, noting that it deflates within a day and the right shoe goes flat after 2 weeks of use. The value for money receives mixed reviews, with some customers considering them a great buy while others find them terrible value.",Men,Very comfortable shoe.
Nike Mens Air Max 270,4.5,125.0,https://m.media-amazon.com/images/I/51Wfem181uL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these sneakers to be of great quality and comfortable, with a nice look that feels good while walking around. The fit receives mixed feedback, with some finding them nice while others say they run small. Moreover, durability is a concern as customers report the top of the sole falling apart after a week of use. Additionally, opinions on value for money are divided, with some considering them worth the price while others find them overpriced.",Men,Really nice 😊
Nike Mens Air Max AP,4.3,70.0,https://m.media-amazon.com/images/I/61THEe+pgnL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes comfortable, well-made, and nice-looking, with good support and value for money. The fit receives mixed feedback - while some say they fit well, others find them too narrow. Durability is also mixed, with reports of eyelets breaking and starting to rip in the same place. The shoes run small according to multiple customers.",Men,The fir on these shoes are great. The are comfortable and the durability is good for hiking and my daily mile walk. They are great support especially since I have planter fasciitis. Love these.
Nike Mens Air Max Excee,4.4,96.0,https://m.media-amazon.com/images/I/61fGtHE153L._AC_SX342_SY445_QL70_ML2_.jpg,Nike,"Customers find these shoes comfortable, lightweight, and well-priced, with good support and a great appearance. The quality is positive, with one customer noting they're great for workouts. However, customers disagree on the sizing, with some finding them true to size while others say they're too small. The durability receives mixed feedback, with one customer reporting issues with the sole coming apart.",Men,Love the style and price only issue that presented itself right b4 I put them on my foot. And it came 1/2 a size too big. So sfter an exchange I refunded my payment entirely
Nike Mens Air Max Nuaxis,4.5,91.0,https://m.media-amazon.com/images/I/61Z8eSmM03L._AC_SX342_SY445_QL70_ML2_.jpg,Nike,"Customers find these shoes to be of great quality, comfortable, and well-fitting. They appreciate their appearance and consider them good value for money. Customers like their workout capabilities, with one mentioning they're perfect for gym use.",Men,"Great fit, high quality, perfect comfort and sleek design.......looks much better once on your feet....... a non five star rating would be unjustified......... all those expenisve nikes with the huge cushions are overpriced and just pop after a year of wear and tear.......these will last forever!!!"
Nike Mens Air Monarch IV TrainingWorkout,4.4,66.0,https://m.media-amazon.com/images/I/61k8isBfmBL._AC_SX342_SY445_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes comfortable, well-fitting, and good value for money. They receive positive feedback for their appearance and arch support, particularly noting they provide good support for side-to-side motion and walking and working out. The durability receives mixed reviews - while some say they hold up well, others report issues with the rubber separating from the sole. Customers also mention the shoes squeak badly and are very noisy.",Men,These are often called
Nike Mens Air Vapormax Plus,4.5,195.0,https://m.media-amazon.com/images/I/612OmqbA-yL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these sneakers comfortable, with one mentioning their feet don't hurt after all-day walking, and appreciate their style and gym suitability. The fit receives mixed feedback, with some finding them a great fit while others say they run a bit tight. While some consider them expensive but worth it, others express disappointment with the price, and the color accuracy is also mixed with some loving the color while others find it not as expected. The durability receives negative feedback, with multiple customers reporting the shoes breaking within four months of use.",Men,Very nice shoe
Nike Mens Air Winflo 10 Trainers,4.3,62.0,https://m.media-amazon.com/images/I/71G96diSViL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these sneakers well-made and comfortable. The fit receives mixed feedback, with some saying they fit perfectly while others mention they run small. Customers disagree on the noise level, with one describing them as squeaky.",Men,Very nice and comfortable.
Nike Mens Air Zoom Pegasus 39,4.6,103.0,https://m.media-amazon.com/images/I/71SFLI4YglL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes comfortable, well-made, and true to size. They appreciate the perfect fit, good support, and value for money, with one customer noting they're great for jogging on pavement. The shoes arrive in good condition.",Men,Good shoes. They were the right fit and are very comfortable and walking in them is good. Only downside is they are so nice I don’t want to get them dirty if I go on a muddy hike
Nike Mens Air Zoom Upturn SC,4.7,67.0,https://m.media-amazon.com/images/I/61qsGwBKFqL._AC_SX342_SY445_QL70_FMwebp_.jpg,Nike,Customers find these shoes comfortable and appreciate their great fit. They also consider them a good value for the price.,Men,Great deal on these really comfortable Nike sneakers! Fits perfect!
Nike Mens Competition Road,4.0,155.0,https://m.media-amazon.com/images/I/61GsBO+pzCL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes to be great for both running and walking, with a perfect fit. They appreciate the comfort and the bounce they provide, with one customer noting a noticeable spring in their step.",Men,"My husband absolutely loves these shoes! He raves about how comfortable they are, noting the excellent additional support they provide. He particularly appreciates the little bounce they offer, which makes them great for walking."
Nike Mens Cortez Textile,4.3,91.0,https://m.media-amazon.com/images/I/61qs0VlhRBL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,No summary available.,Men,Nike Cortez are a classic look. Nowadays the old school sneaks are expensive but still worth the money. Awesome comfort. Fits to size.
Nike Mens Court Vision Low Next Nature,4.4,81.0,https://m.media-amazon.com/images/I/61gCz9vGyoL._AC_SX342_SY445_QL70_FMwebp_.jpg,Nike,"Customers find these shoes stylish and appreciate their value for money, noting they wear them all the time. The color options receive positive feedback, with one customer describing them as a perfect white sneaker. Customers disagree on the fit, comfort, and quality, with some finding them true to size while others report they're too tight. The cushioning receives mixed reviews.",Men,This is the fourth pair of these shoes I
Nike Mens Downshifter,4.4,74.0,https://m.media-amazon.com/images/I/71L+GRw3QvL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes to be well-made, comfortable, and lightweight, offering good value for the price. The shoes receive positive feedback for their appearance, with one customer noting the black-on-black combination looks great. While some customers report a perfect fit, others find them too narrow, and durability is mixed with reports of cracking and tearing.",Men,Very Comfortable. Great walking shoe. I’m a combat veteran with back/hip/leg issues. These are comfortable mobility issues. Black on black looks great too.
Nike Mens Flex Experience Run 12,4.2,81.0,https://m.media-amazon.com/images/I/61CXoL2wyOL._AC_SX342_SY445_QL70_FMwebp_.jpg,Nike,No summary available.,Men,Excellent fit is right I run every day and these are very comfortable. I don’t believe in breaking running shoes in they should be comfortable to start in. These are.
Nike Mens Free Metcon 6 Workout,4.4,,https://m.media-amazon.com/images/I/71eCoyF6H7L._AC_SX395_SY395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/61Ty80ZltwL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike Nike,"Customers find these workout shoes comfortable, stylish, and lightweight, with good stability that provides confidence during heavier lifts. Moreover, they appreciate the quality, with one customer noting the sock liner design for ankle support, and consider them the best all-purpose workout shoe. However, the fit receives mixed feedback - while some find them snug to put on, others mention they're hard to get on and off. Additionally, opinions about size vary, with some finding them suitable for wide feet while others note they run a bit small. Customers find these workout shoes comfortable, stylish, and lightweight, with good stability that provides confidence during heavier lifts. Moreover, they appreciate the quality, with one customer noting the sock liner design for ankle support, and consider them the best all-purpose workout shoe. However, the fit receives mixed feedback - while some find them snug to put on, others mention they're hard to get on and off. Additionally, opinions about size vary, with some finding them suitable for wide feet while others note they run a bit small.",Men Men,"I ordered the Nike Metcon 6 Free about a week ago, and I’ve been pleasantly surprised with the performance right from the start. The shoes are extremely comfortable, offering a secure yet flexible fit that adapts well during both lifting and conditioning workouts. What stood out the most is how easy they were to break in—practically no adjustment period was needed. Within the first couple of sessions, they already felt like a natural extension of my training routine.The breathability is another strong point; the mesh upper keeps my feet cool even during long, high-intensity workouts. The stability in the heel gives confidence under heavier lifts, while the forefoot remains flexible enough for sprints, jumps, and dynamic movements. It’s a rare balance of support and comfort that makes the Metcon 6 Free versatile for both strength and functional training.Overall, this shoe delivers on all fronts: comfort, stability, and ease of use. If you want a training shoe that won’t slow you down with a long break-in period, the Metcon 6 Free is a solid choice."
Nike Mens Free Run 2018,4.5,80.0,https://m.media-amazon.com/images/I/61-ZqOg1HML._AC_SY395_SX395_QL70_ML2_.jpg,Nike,"Customers find these sneakers comfortable, excellent in quality, and appreciate that they fit well and are very light. The size receives mixed feedback, with one customer noting they run half a size small. The support and value for money aspects also get mixed reviews.",Men,"These are the first running shoes I’ve ever owned and I absolutely love them. They are so lightweight and comfortable, I feel like I’m walking on air. Very reasonably priced. Highly recommended, especially if you spend a lot of time on your feet (regardless whether you’re running, walking, or just standing)."
Nike Mens Full Force Low,4.6,61.0,https://m.media-amazon.com/images/I/713C4wFx0jL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these sneakers to be of great quality, comfortable, and stylish, with one noting they're not as narrow as other Nikes. They appreciate the perfect fit, right sizing, and good color, while also praising their durability and value for money.",Men,Bought these for my son. Perfect fit. He says they
Nike Mens Gymnastics,4.6,130.0,https://m.media-amazon.com/images/I/61JPB8jmP0L._AC_SY395_SX395_QL70_ML2_.jpg,Nike,"Customers find these workout shoes comfortable, well-fitting, and lightweight, with good support for both lifting and running activities. They are particularly well-suited for CrossFit and gym workouts, and customers appreciate their appearance and consider them worth the price.",Men,These shoes look sharp and are accurate to the pictures supplied in the description. I found the quality seems like they
Nike Mens Invincible 3 Road,5.0,119.0,https://m.media-amazon.com/images/I/61RkXsBcyQL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,No summary available.,Men,Absolutely the best!
Nike Mens Journey Run,4.8,77.0,https://m.media-amazon.com/images/I/71KdO8Ci6SL._AC_SX342_SY445_QL70_ML2_.jpg,Nike,"Customers find these running shoes to be well-constructed and comfortable, with a perfect fit and good value for money. However, several customers note that they seem physically larger than most size 11 shoes.",Men,Perfect fit. Very confy.
Nike Mens Juniper 2 Nn,4.4,89.0,https://m.media-amazon.com/images/I/61seuC+fsKL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,Customers find these trail shoes comfortable and well-built.,Men,"It is very comfortable shoes and water proof function works very well.The size is slightly small for me because somewhat narrow width.But, the same with other nike running shoes."
Nike Mens Juniper 2 Nn Low Top,4.5,61.0,https://m.media-amazon.com/images/I/81YRBP5qFsL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,No summary available.,Men,Great shoes
Nike Mens Laced,4.6,66.0,https://m.media-amazon.com/images/I/71GrxTvI3dL._AC_SX342_SY445_QL70_FMwebp_.jpg,Nike,"Customers find these shoes to be of good quality, with one mentioning they're perfect for gym use. They are comfortable, fit well, and have a nice look. Customers appreciate the support and consider them a great value.",Men,"I got these Nike Uplift SC for my workouts and they’ve been excellent. They feel light, stable, and very comfortable for weight training and cardio. The grip is solid, and the support makes a big difference during squats and other exercises.Stylish, comfortable, and perfect for the gym. Totally worth it!"
Nike Mens Legend Essential 3 Next Nature,4.3,56.0,https://m.media-amazon.com/images/I/61MeN7CijtL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes to be of good quality, comfortable, and good-looking. They consider them good value for money. The fit receives mixed feedback from customers.",Men,"Amazing! Best shoes ive ever bought! I’ve mainly worn Vans or Nike Slides most of my life so I wanted to finally try an actual Nike shoe, so I went with this because I walk a lot, and WOW I was not disappointed. I get no foot pain, can walk longer, and the laces and overall look is way better than Vans, at least in my opinion. But yeah. BUY these if you want good shoes"
Nike Mens Nike Air Max Alpha Trainer 5,4.3,91.0,https://m.media-amazon.com/images/I/81F4YxvkArL._AC_SX395_SY395_QL70_ML2_.jpg,Nike,"Customers find these gymnastics shoes to be of good quality, comfortable, and well-fitting, with one customer noting plenty of room in the toe box. They receive positive feedback for their appearance and value for money. However, customers disagree on the sizing, with some finding them true to size while others say they run big. Additionally, customers report issues with squeaking and receiving used shoes.",Men,"Very comfortable, made terrificly, true to size, looks sharp, worth the money"
Nike Mens P6000,4.6,91.0,https://m.media-amazon.com/images/I/61DyiBNm-gL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these shoes comfortable and well-made. They like the color, with one customer specifically mentioning the black and gold design.",Men,Super comfortable shoe’s!!!
Nike Mens Pegasus 5 GORETEX Waterproof,4.1,127.0,https://m.media-amazon.com/images/I/81CaAXdu3hL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these trail running shoes to be of high quality, with exceptional shock absorbing heel cushioning and a great fit. They are durable, with one customer noting they shrug off rocks, and another mentioning the Invisible Fit membrane keeps water out. However, several customers report that the shoes run small in size.",Men,"Great cushion, excellent traction, the shell and sole will last. I ordered a size 10, my usual size it fits well. I would buy again!"
Nike Mens Promina,4.6,66.0,https://m.media-amazon.com/images/I/61QxYuq3qVL._AC_SX342_SY445_QL70_FMwebp_.jpg,Nike,"Customers find these walking shoes comfortable, with one mentioning they make feet not hurt, and appreciate their quality and value for money. They are good for walking, with one customer noting they make long distance walking easy, and customers like their appearance. The shoes receive positive feedback for their fit and support, with one customer specifically mentioning good arch support, while opinions about size are mixed.",Men,"Just bought these and wore them for two days of heavy walking at Walt Disney World in Orlando and they were fantastic!! Super, super comfortable. Normal don"
